date,city,latitude,longitude,temperature_c,temperature_max_c,temperature_min_c,humidite_pct,pluie_mm,precipitation_totale_mm,vitesse_vent_max_kmh,code_meteo_dominant,etat_olivier,action_recommandee
2020-11-19,Tunis,36.801403,10.170828,17.8,20.3,15.3,87,1.9,1.9,14.7,51,État Sain,Ne rien faire
2020-11-20,Tunis,36.801403,10.170828,16.15,19.9,12.4,68,0.4,0.4,32.7,51,État Sain,Ne rien faire
2020-11-21,Tunis,36.801403,10.170828,14.8,17.1,12.5,82,5.8,5.8,24.9,61,État Sain,Ne rien faire
2020-11-22,Tunis,36.801403,10.170828,14.35,15.8,12.9,94,14.3,14.3,26.9,61,Risque Fongique,Traitement Préventif
2020-11-23,Tunis,36.801403,10.170828,15.3,18.9,11.7,88,2.1,2.1,14.7,51,Risque Fongique,Traitement Préventif
2020-11-24,Tunis,36.801403,10.170828,15.35,18.7,12.0,88,4.2,4.2,15.9,53,Risque Fongique,Traitement Préventif
2020-11-25,Tunis,36.801403,10.170828,15.35,20.7,10.0,83,0.0,0.0,10.2,3,État Sain,Ne rien faire
2020-11-26,Tunis,36.801403,10.170828,16.45,20.7,12.2,82,0.0,0.0,15.3,3,État Sain,Ne rien faire
2020-11-27,Tunis,36.801403,10.170828,15.6,19.4,11.8,89,1.0,1.0,18.0,51,État Sain,Ne rien faire
2020-11-28,Tunis,36.801403,10.170828,17.95,21.8,14.1,61,1.4,1.4,29.5,53,État Sain,Ne rien faire
2020-11-29,Tunis,36.801403,10.170828,14.85,16.8,12.9,74,3.0,3.0,25.1,53,État Sain,Ne rien faire
2020-11-30,Tunis,36.801403,10.170828,16.1,19.6,12.6,84,0.0,0.0,14.5,2,État Sain,Ne rien faire
2020-12-01,Tunis,36.801403,10.170828,15.25,19.5,11.0,83,0.0,0.0,10.6,2,État Sain,Ne rien faire
2020-12-02,Tunis,36.801403,10.170828,15.05,20.1,10.0,77,0.4,0.4,14.5,51,État Sain,Ne rien faire
